AS             ,convergence_time
1              ,177            
2              ,177            
3              ,148            
4              ,148            
5              ,145            
6              ,147            
7              ,118            
8              ,117            
9              ,90             
10             ,88             
11             ,60             
12             ,59             
13             ,30             
14             ,30             
15             ,0              
16             ,0              
17             ,0              



time           ,converged_ASes ,non_converged_ASes,total_nodes    
43  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
44  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
45  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
46  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
47  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
48  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
49  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
50  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
51  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
52  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
53  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
54  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
55  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
56  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
57  ,0.7 ,0   ,0   ,0.1 ,0   ,0.1 ,0   ,0.1 ,0   ,0   ,0   ,0.1 ,0.1 ,0.2 ,0   ,0   ,0   ,0   
58  ,4.1 ,0   ,0.1 ,0.6 ,0.1 ,0.7 ,0.1 ,0.6 ,0.1 ,0.5 ,0.1 ,0.6 ,0.1 ,0.5 ,0   ,0   ,0   ,0   
59  ,9.6 ,0   ,0.6 ,1.2 ,0.6 ,1.0 ,0.9 ,1.1 ,0.7 ,1.2 ,0.5 ,0.8 ,0.5 ,0.5 ,0   ,0   ,0   ,0   
60  ,2.6 ,0   ,0.3 ,0.1 ,0.3 ,0.2 ,0   ,0.2 ,0.2 ,0.3 ,0.4 ,0.5 ,0   ,0.1 ,0   ,0   ,0   ,0   
61  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
62  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
63  ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   
